Date,Time,Text,Link
2026-05-18,09:00,"【フリーランス新法】報酬の支払いは「60日以内」が法的義務です。「翌々月末払い」は違反になる可能性があります。契約書に支払期日が明記されているか確認を👇",https://freelance-articles.vercel.app/articles/60day-rule-violation
2026-05-18,18:00,"知らないと損！フリーランス新法 支払い60日ルールのポイント3つ▶①受領日から60日以内に期日設定 ②期日当日の支払い必須 ③違反は行政指導の対象 あなたの契約書は大丈夫ですか？",https://freelance-articles.vercel.app/articles/60day-rule-violation
2026-05-20,09:00,"業務委託契約を結ぶ前に確認すべき10項目をまとめました📋フリーランス新法・下請法の観点から危険な条項をチェックリスト形式で解説。署名前に必ず確認を👇",https://freelance-articles.vercel.app/articles/contract-checklist
2026-05-21,09:00,"「もう少し安くして」は法律違反になりえます。フリーランス新法第5条4号「買いたたきの禁止」とは？市場相場より著しく低い報酬を強いることは違法です。証拠の残し方も解説👇",https://freelance-articles.vercel.app/articles/price-undercutting
2026-05-22,09:00,"報酬が振り込まれない…そんな時の段階別対処法📌①確認メール②内容証明③公正取引委員会申告④少額訴訟 フリーランス新法施行で支払い遅延は明確に違法に。泣き寝入りしなくていい時代へ👇",https://freelance-articles.vercel.app/articles/late-payment-response
2026-05-23,09:00,"「下請法って自分に関係ある？」→発注者の資本金が1000万円超なら関係あります。フリーランスへの適用条件と、フリーランス新法との違いを図解で解説👇",https://freelance-articles.vercel.app/articles/subcontract-law-applicability
2026-05-25,09:00,"「明日から来なくていい」は2024年11月から違法です。フリーランス新法第16条：継続契約の中途解除は30日前の予告が必須。「いつでも解除できる」条項が入った契約書は要注意👇",https://freelance-articles.vercel.app/articles/instant-termination-illegal
2026-05-26,09:00,"「方向性が変わったので不要です」は通じません。フリーランス新法が禁止する不当な返品・無限修正とは？気に入らないから返品・際限ない修正要求は違法です👇",https://freelance-articles.vercel.app/articles/return-prohibition
2026-05-27,09:00,"【発注担当者の方へ】フリーランスへの発注で知らないと法律違反になる5つのこと。「中小企業だから関係ない」は誤りです。コンプライアンスチェックリスト付き👇",https://freelance-articles.vercel.app/articles/sme-freelance-ordering-caution
2026-05-28,09:00,"「ちょっと修正してください」が無限に続く問題。フリーランス新法では受託者の責めでない修正強要は違法。修正回数・費用の決め方と断り方のテンプレートを解説👇",https://freelance-articles.vercel.app/articles/revision-cost-liability
2026-05-29,09:00,"フリーランスへのパワハラ・セクハラ防止が企業の法的義務に。フリーランス新法第14条で発注企業に相談窓口設置が義務化。フリーランス側が知るべき権利と証拠保存法👇",https://freelance-articles.vercel.app/articles/harassment-prevention
